CPU Total,CPU Package Temperature,Memory,Used Memory,Temperature,Used Space
3.52802277,40,48.9946632,1.91856384,35,92.11886
5.060095,40,48.9711838,1.9176445,35,92.11886
10.9375,40,49.1102,1.92308807,35,92.11886
5.078125,40,49.1250038,1.92366791,35,92.11886
2.34375,40,49.13767,1.92416382,35,92.11886
0.390625,40,49.1432228,1.92438126,35,92.11886
4.6875,40,49.1628036,1.925148,35,92.11886
3.515625,40,49.105423,1.92290115,35,92.11886
3.125,40,49.0764923,1.92176819,35,92.11886
1.5625,39,48.851265,1.91294861,35,92.11886
2.692306,40,48.8445435,1.91268539,35,92.11886
2.692306,39,48.8412323,1.91255569,35,92.11886
2.734375,39,48.8417168,1.91257477,35,92.11886
5.078125,40,48.825058,1.91192245,35,92.11886
3.90625,40,48.80996,1.91133118,35,92.11886
7.30769062,40,48.8466873,1.91276932,35,92.11886
3.84615064,39,48.8452263,1.9127121,35,92.11886
4.23076725,40,48.8412323,1.91255569,35,92.11886
5.46875,40,48.8348,1.91230392,35,92.11886
7.8125,40,48.48342,1.89854431,35,92.11886
8.203125,40,48.6205826,1.90391541,35,92.11886
10.9375,40,49.46879,1.93713,35,92.11886
18.75,40,49.9820747,1.95722961,35,92.11886
29.296875,43,50.9707565,1.995945,35,92.11899
16.40625,40,52.0233421,2.03716278,35,92.11899
13.28125,40,53.02293,2.07630539,35,92.11899
28.8461571,40,54.2690849,2.125103,35,92.11899
27.6923065,40,55.3138771,2.16601563,35,92.11899
44.2307663,44,56.7301178,2.22147369,35,92.11899
32.8125,41,57.06221,2.234478,35,92.11899
10.546875,42,57.10264,2.236061,35,92.11899
46.9230766,44,57.76848,2.26213455,35,92.11899
88.84615,44,60.0011673,2.3495636,35,92.11899
62.3076935,43,61.55194,2.41028976,35,92.11899
10.546875,41,61.6740036,2.41506958,35,92.11899
46.484375,43,61.5673332,2.41089249,35,92.11899
43.75,42,62.138195,2.43324661,35,92.11899
19.921875,43,62.29523,2.439396,35,92.11899
23.84615,41,62.2191467,2.43641663,35,92.11899
20.3846149,44,61.72096,2.41690826,35,92.11899
38.0769272,43,61.5492134,2.410183,35,92.11899
25.390625,41,61.8769226,2.42301559,35,92.11899
30.859375,45,53.59837,2.09883881,35,92.11899
8.076918,42,53.2897568,2.08675385,35,92.11899
5.859375,41,53.27563,2.08620071,35,92.11899
7.8125,41,53.2660828,2.08582687,35,92.11899
8.984375,41,52.91022,2.07189178,35,92.11899
8.59375,41,52.9500656,2.073452,35,92.11899
19.53125,41,52.9172363,2.07216644,35,92.11899
8.203125,41,52.99731,2.07530212,35,92.11899
10.15625,41,53.7103043,2.103222,35,92.11899
14.453125,44,53.7664146,2.10541916,35,92.11899
32.421875,41,54.1645546,2.12100983,35,92.11899
16.015625,43,54.556366,2.13635254,36,92.11933
11.328125,44,54.7155457,2.14258575,36,92.11933
17.1875,41,55.2651672,2.16410828,36,92.11933
13.28125,41,55.8324242,2.18632126,36,92.11933
8.203125,42,55.94309,2.19065475,36,92.11933
8.59375,43,56.6313362,2.21760559,36,92.11933
8.59375,41,56.6958275,2.220131,36,92.11933
18.75,41,56.47664,2.21154785,36,92.11933
20.7692318,43,56.4650459,2.211094,36,92.11933
30.46875,43,56.6872559,2.21979523,36,92.11933
16.40625,41,56.8080521,2.22452545,36,92.11933
18.359375,41,57.02714,2.23310471,36,92.11933
21.09375,44,57.46717,2.25033569,36,92.11933
34.765625,42,59.6412163,2.33546829,36,92.11933
22.65625,43,55.56307,2.17577362,36,92.11933
4.296875,41,55.3334579,2.16678238,36,92.11933
4.296875,41,55.1079369,2.15795135,36,92.11933
1.171875,41,55.08378,2.15700531,36,92.11933
5.46875,41,55.04676,2.15555573,36,92.11933
8.59375,42,55.0055542,2.153942,36,92.11933
3.90625,41,54.986557,2.15319824,36,92.11933
17.578125,43,54.7468147,2.14381027,36,92.11933
18.359375,44,55.16142,2.16004562,36,92.11933
50.390625,43,56.32282,2.20552444,36,92.11933
26.5625,42,56.5817528,2.215664,36,92.11933
18.359375,42,56.5441475,2.21419144,36,92.11933
3.90625,41,56.52291,2.21335983,36,92.11933
13.28125,44,56.9839859,2.23141479,36,92.11933
32.03125,44,56.8045425,2.22438812,36,92.11933
10.15625,42,56.4488754,2.21046066,36,92.11933
14.0625,42,56.32662,2.20567322,36,92.11947
48.4375,43,56.2331963,2.202015,36,92.11947
14.84375,42,56.40046,2.20856476,36,92.11947
5.859375,42,56.3535042,2.206726,36,92.11947
7.04985237,42,56.30285,2.20474243,36,92.11947
8.587742,42,56.4971962,2.21235275,36,92.11947
14.84375,42,56.21303,2.20122528,36,92.11947
7.03125,42,56.1011963,2.196846,36,92.11947
23.4375,44,56.25677,2.202938,36,92.11947
50,45,55.9795227,2.19208145,36,92.11947
9.375,43,55.7336426,2.18245316,36,92.11947
15.234375,42,55.3645325,2.16799927,36,92.11947
19.99008,42,55.2893257,2.16505432,36,92.11947
8.960337,44,55.5843048,2.17660522,36,92.11947
17.1875,42,55.6634064,2.17970276,36,92.11947
10.15625,41,55.6348648,2.178585,36,92.11947
6.67783,42,55.409832,2.169773,36,92.11947
10.8894234,43,55.54943,2.17523956,36,92.11947
30.46875,44,55.523613,2.17422867,36,92.11947
16.015625,42,55.3964844,2.16925049,36,92.11947
11.71875,41,55.4659424,2.17197037,36,92.11947
6.25,41,55.248703,2.16346359,36,92.11947
11.328125,41,55.23682,2.1629982,36,92.11947
2.734375,41,55.31154,2.165924,36,92.11947
4.296875,41,55.2961464,2.16532135,36,92.11947
8.203125,42,55.1638527,2.160141,36,92.11947
14.0625,44,54.5576324,2.13640213,36,92.11947
23.4375,42,48.8251572,1.91192627,36,92.11947
9.412205,41,48.88059,1.91409683,36,92.11947
6.22596169,41,48.7259865,1.90804291,36,92.11947
14.0625,41,48.6664658,1.90571213,36,92.1194839
9.375,41,48.644352,1.90484619,36,92.1194839
6.640625,41,48.6457138,1.9048996,36,92.1194839
9.375,41,48.9270554,1.91591644,36,92.1194839
17.96875,44,49.09539,1.92250824,36,92.1194839
30.859375,44,49.66216,1.94470215,36,92.1194839
11.71875,45,49.78052,1.949337,36,92.1194839
29.296875,45,49.7620125,1.94861221,36,92.1194839
25.78125,43,48.9193573,1.91561508,36,92.1194839
31.640625,44,48.80694,1.91121292,36,92.1194839
28.515625,43,48.7456665,1.90881348,36,92.1194839
28.90625,44,48.6348038,1.90447235,36,92.1194839
30.30494,45,48.98297,1.91810608,36,92.1194839
29.4152489,45,49.31867,1.93125153,36,92.1194839
24.21875,45,49.66781,1.9449234,36,92.1194839
13.671875,42,49.6582642,1.94454956,36,92.1194839
24.609375,45,49.6355667,1.94366074,36,92.1194839
28.515625,42,49.46343,1.93692017,36,92.1194839
7.03125,42,49.60371,1.94241333,36,92.1194839
16.796875,42,49.4635277,1.936924,36,92.1194839
17.578125,45,49.56523,1.94090652,36,92.1194839
19.23077,45,49.4834,1.93770218,36,92.1194839
16.015625,45,49.0098572,1.91915894,36,92.1194839
18.75,42,49.2408333,1.92820358,36,92.1194839
16.9230824,45,49.416378,1.93507767,36,92.1194839
16.53846,45,49.32169,1.93136978,36,92.1194839
17.1875,43,49.2456055,1.9283905,36,92.1194839
19.140625,43,49.22505,1.9275856,36,92.1194839
15.234375,45,49.29675,1.93039322,36,92.1194839
15.7692318,43,48.88351,1.91421127,36,92.1194839
23.8461552,45,49.1712761,1.92547989,36,92.12631
17.69231,45,49.1718636,1.92550278,36,92.12631
38.28125,43,49.02184,1.91962814,36,92.12631
33.984375,46,49.3175,1.93120575,36,92.12631
41.40625,45,49.7969856,1.94998169,36,92.12631
42.1875,44,49.99045,1.95755768,36,92.12631
33.984375,43,50.312027,1.97015,36,92.12631
44.6153831,43,50.39327,1.97333145,36,92.12631
21.1538429,46,50.6096344,1.98180389,36,92.12631
27.34375,45,50.40019,1.97360229,36,92.12631
37.109375,46,50.7818642,1.98854828,36,92.12631
43.07692,46,50.89039,1.99279785,36,92.12631
48.046875,45,51.0273552,1.99816132,36,92.12631
30.46875,46,50.7046127,1.98552322,36,92.12631
24.2307663,45,50.9397774,1.9947319,36,92.12631
26.1538448,45,50.9452324,1.99494553,36,92.12631
28.90625,46,50.840313,1.9908371,36,92.12631
13.7214775,43,50.9648132,1.99571228,36,92.12631
15.71095,44,51.1620827,2.003437,36,92.12631
58.984375,46,52.44905,2.053833,36,92.12631
29.296875,45,52.9700356,2.074234,36,92.12631
19.53125,44,53.1107025,2.07974243,36,92.12631
21.1538429,45,52.8655052,2.07014084,36,92.12631
16.5384655,45,52.6923,2.06335831,36,92.12631
25,46,53.0058823,2.07563782,36,92.12631
15.625,45,52.752697,2.06572342,36,92.12631
23.828125,43,52.85625,2.06977844,36,92.12631
21.92307,43,53.044754,2.07716,36,92.12631
15.3846149,44,52.9601,2.073845,36,92.12631
25,43,52.46376,2.054409,36,92.12631
17.96875,46,52.2530479,2.04615784,37,92.1198044
17.578125,43,52.49279,2.05554581,37,92.1198044
19.140625,44,52.4322968,2.05317688,37,92.1198044
24.609375,43,52.0719528,2.03906631,37,92.1198044
37.5,44,52.679245,2.06284714,37,92.1198044
60.546875,47,53.02157,2.076252,37,92.1198044
86.92307,47,53.3259964,2.088173,37,92.1198044
64.453125,46,53.44991,2.09302521,37,92.1198044
40.234375,45,53.49082,2.09462738,37,92.1198044
42.96875,44,53.5944748,2.09868622,37,92.1198044
8.984375,44,53.58045,2.098137,37,92.1198044
8.461541,45,53.7977829,2.10664749,37,92.1198044
0.7692337,43,53.5676842,2.09763718,37,92.1198044
8.203125,43,53.5801544,2.09812546,37,92.1198044
31.25,47,53.57041,2.097744,37,92.1198044
30.859375,43,53.55093,2.096981,37,92.1198044
11.71875,46,53.7750854,2.10575867,37,92.1198044
14.84375,45,53.9555969,2.1128273,37,92.1198044
7.421875,43,54.13504,2.119854,37,92.1198044
7.8125,43,54.1441956,2.12021255,37,92.1198044
22.3076935,45,54.4846649,2.133545,37,92.1198044
20.7692261,45,54.4707375,2.13299942,37,92.1198044
13.28125,43,54.80098,2.14593124,37,92.1198044
26.5625,47,55.30248,2.16556931,37,92.1198044
44.23077,45,55.9695854,2.19169235,37,92.1198044
55.078125,43,55.4172363,2.170063,37,92.1198044
10.15625,43,55.4371071,2.17084122,37,92.1198044
33.984375,46,56.16432,2.199318,37,92.1198044
29.296875,44,55.981472,2.19215775,37,92.1198044
9.765625,43,55.9725075,2.19180679,37,92.1198044
18.75,46,55.7806969,2.18429565,37,92.11984
19.921875,43,56.5451241,2.21422958,37,92.11984
28.90625,46,57.5076942,2.25192261,37,92.11984
17.578125,44,57.0017128,2.232109,37,92.11984
19.53125,44,56.8325,2.225483,37,92.11984
21.484375,46,57.1713181,2.23875046,37,92.11984
22.265625,45,56.9272881,2.22919464,37,92.11984
25.3846169,45,56.7722969,2.22312546,37,92.11984
16.40625,46,56.63299,2.21767044,37,92.11984
38.671875,45,57.1267967,2.23700714,37,92.11984
11.5384579,43,57.42051,2.24850845,37,92.11984
26.171875,45,57.52114,2.252449,37,92.11984
27.34375,45,57.549,2.25354,37,92.11984
29.6875,43,57.31676,2.2444458,37,92.11984
7.8125,43,57.3249435,2.24476624,37,92.11984
15.625,44,57.3060455,2.24402618,37,92.11984
16.796875,45,57.50955,2.251995,37,92.11984
55.46875,47,57.98796,2.270729,37,92.11984
48.4375,46,58.0651131,2.27375031,37,92.11984
42.96875,44,57.9172363,2.26795959,37,92.11984
59.375,45,58.0767059,2.27420425,37,92.11984
17.1875,45,58.0261459,2.27222443,37,92.11984
30.859375,47,58.1457748,2.27690887,37,92.11984
54.296875,47,58.0816727,2.2743988,37,92.11984
39.84375,44,58.0216637,2.272049,37,92.11984
20.703125,46,57.967598,2.26993179,37,92.11984
48.4375,47,57.8927841,2.267002,37,92.11984
46.484375,47,57.8517723,2.265396,37,92.11984
53.90625,48,57.83638,2.2647934,37,92.11984
28.515625,45,57.81446,2.263935,37,92.11984
17.1875,45,57.8135834,2.26390076,37,92.1199646
28.515625,47,57.8082275,2.263691,37,92.1199646
57.03125,44,57.7999458,2.2633667,37,92.1199646
44.53125,45,57.37219,2.24661636,37,92.1199646
29.296875,46,57.36225,2.24622726,37,92.1199646
14.84375,46,57.3512459,2.2457962,37,92.1199646
40.234375,47,57.3373146,2.2452507,37,92.1199646
35.384613,45,57.3377037,2.245266,37,92.1199646
12.6923084,45,57.330204,2.24497223,37,92.1199646
16.53846,45,56.9619675,2.23055267,37,92.1199646
36.328125,46,56.9549561,2.230278,37,92.1199646
40.234375,45,57.0076561,2.23234177,37,92.1199646
32.03125,44,57.014183,2.23259735,37,92.1199646
12.5,45,56.7026443,2.220398,37,92.1199646
14.0625,44,56.6327972,2.21766281,37,92.1199646
11.328125,44,56.6352348,2.21775818,37,92.1199646
23.4375,47,56.96869,2.230816,37,92.1199646
21.875,44,56.7777557,2.223339,37,92.1199646
19.140625,45,57.230545,2.24106979,37,92.1199646
12.5,44,56.7638245,2.22279358,37,92.1199646
13.28125,44,56.7702522,2.22304535,37,92.1199646
17.6923027,44,56.65384,2.21848679,37,92.1199646
17.578125,44,56.8108749,2.224636,37,92.1199646
16.9230766,44,56.79607,2.22405624,37,92.1199646
16.1538486,46,56.761776,2.22271347,37,92.1199646
10.15625,43,56.76782,2.22295,37,92.1199646
15.234375,46,56.68297,2.21962738,37,92.1199646
14.6153812,44,56.81643,2.22485352,37,92.1199646
15.7692318,44,56.74697,2.22213364,37,92.1199646
18.75,46,56.5928574,2.21609879,37,92.1199646
18.359375,45,56.73489,2.22166061,37,92.12019
13.4615364,44,56.7651863,2.222847,37,92.12019
12.3076916,46,56.59734,2.21627426,37,92.12019
14.6153812,44,56.53782,2.21394348,37,92.12019
21.875,46,57.2071648,2.24015427,37,92.12019
17.6923027,44,56.89251,2.22783279,37,92.12019
12.6923084,43,56.7757072,2.223259,37,92.12019
13.28125,46,56.9433632,2.229824,37,92.12019
15.3846149,46,56.8157463,2.22482681,37,92.12019
16.796875,43,56.8271446,2.22527313,37,92.12019
19.921875,45,56.7374229,2.2217598,37,92.12019
21.1538429,46,56.70927,2.22065735,37,92.12019
32.03125,45,56.7603149,2.22265625,37,92.12019
20.7692261,46,57.1983,2.23980713,37,92.12019
20.3125,46,56.81838,2.22492981,37,92.12019
19.921875,44,57.0738029,2.234932,37,92.12019
19.140625,45,56.9092674,2.228489,37,92.12019
30.859375,47,56.7743454,2.22320557,37,92.12019
19.921875,45,56.781456,2.223484,37,92.12019
23.046875,43,56.8004532,2.224228,37,92.12019
18.359375,45,56.65764,2.21863556,37,92.12019
27.34375,45,56.82305,2.225113,37,92.12019
18.359375,45,56.7346,2.22164917,37,92.12019
25.78125,46,56.78009,2.22343063,37,92.12019
26.171875,43,56.6099052,2.21676636,37,92.12019
10.546875,43,56.5670433,2.215088,37,92.12019
8.203125,43,56.71609,2.22092438,37,92.12019
10.546875,43,56.7757072,2.223259,37,92.12019
5.769229,43,56.75262,2.222355,37,92.12019
3.90625,43,56.4624176,2.210991,37,92.12019
3.125,42,56.44196,2.21018982,38,92.12024
6.640625,43,56.3888664,2.20811081,38,92.12024
3.46153975,43,56.3461,2.20643616,38,92.12024
9.375,46,56.2883339,2.204174,38,92.12024
11.9230747,43,56.26622,2.203308,38,92.12024
25.390625,45,56.3353844,2.20601654,38,92.12024
24.609375,46,56.1159058,2.197422,38,92.12024
21.484375,47,56.1711426,2.199585,38,92.12024
46.1538429,44,56.4825821,2.21178055,38,92.12024
18.75,45,56.4982643,2.21239471,38,92.12024
27.734375,45,56.55155,2.21448135,38,92.12024
20.3125,44,56.73255,2.221569,38,92.12024
29.296875,44,56.978138,2.231186,38,92.12024
14.6153812,43,56.19082,2.20035553,38,92.12024
27.6923065,45,56.0482979,2.19477463,38,92.12024
29.61538,45,56.3795166,2.2077446,38,92.12024
36.15384,45,56.435627,2.20994186,38,92.12024
23.4375,45,56.32438,2.20558548,38,92.12024
20.703125,47,56.4255943,2.209549,38,92.12024
22.65625,45,56.14513,2.19856644,38,92.12024
23.828125,43,56.2026062,2.200817,38,92.12024
3.125,43,56.441082,2.21015549,38,92.12024
3.125,43,56.41254,2.20903778,38,92.12024
8.984375,43,56.5986061,2.21632385,38,92.12024
19.53125,43,56.6669922,2.21900177,38,92.12024
5.46875,43,56.64205,2.21802521,38,92.12024
13.0769253,46,56.6051331,2.21657944,38,92.12024
16.53846,43,56.5601273,2.214817,38,92.12024
30.0000019,45,56.452774,2.21061325,38,92.12024
12.5,43,56.216732,2.20137024,38,92.12024
38.28125,45,56.2690468,2.20341873,38,92.12031
10.546875,44,56.0500526,2.19484329,38,92.12031
13.671875,45,55.85795,2.18732071,38,92.12031
33.07692,46,56.4371872,2.210003,38,92.12031
23.0769157,43,56.30012,2.20463562,38,92.12031
25,46,56.3526268,2.20669174,38,92.12031
21.484375,43,56.1122055,2.197277,38,92.12031
15.625,44,56.0247231,2.19385147,38,92.12031
8.984375,46,56.1237,2.1977272,38,92.12031
23.4375,43,56.1445465,2.19854355,38,92.12031
21.875,44,56.3991928,2.20851517,38,92.12031
33.8461533,47,56.69164,2.219967,38,92.12031
22.265625,44,56.4932976,2.21220016,38,92.12031
25,46,56.2584267,2.203003,38,92.12031
32.8125,45,56.2550163,2.20286942,38,92.12031
22.65625,46,56.525444,2.213459,38,92.12031
39.0625,46,56.36432,2.20714951,38,92.12031
30.078125,45,56.3215523,2.20547485,38,92.12031
16.40625,43,56.2279358,2.201809,38,92.12031
23.4375,46,56.134903,2.198166,38,92.12031
16.1538429,46,56.2482,2.20260239,38,92.12031
26.953125,46,56.15224,2.198845,38,92.12031
28.0769234,45,56.1268158,2.19784927,38,92.12031
28.125,46,56.27333,2.20358658,38,92.12031
28.8461514,47,56.477417,2.21157837,38,92.12031
23.828125,46,56.8964081,2.22798538,38,92.12031
50.78125,45,56.7442436,2.22202682,38,92.12031
22.3076935,47,56.2870674,2.20412445,38,92.12031
37.6923065,47,55.24783,2.16342926,38,92.12031
23.4615326,45,55.34125,2.16708755,38,92.12031
26.5625,46,55.18246,2.1608696,38,92.12034
12.6923084,45,55.23185,2.16280365,38,92.12034
29.296875,46,55.1012154,2.15768814,38,92.12034
26.538456,45,55.2102242,2.16195679,38,92.12034
17.3076935,46,55.157814,2.15990448,38,92.12034
21.484375,45,55.2097359,2.16193771,38,92.12034
25,45,55.06186,2.156147,38,92.12034
10.9375,45,54.9378471,2.151291,38,92.12034
13.0769253,44,54.9678535,2.15246582,38,92.12034
11.71875,44,55.0503654,2.15569687,38,92.12034
8.203125,44,55.0205536,2.15452957,38,92.12034
19.140625,45,55.0435448,2.15542984,38,92.12034
9.765625,44,54.9112549,2.15024948,38,92.12034
30.859375,46,54.9703865,2.152565,38,92.12034
10.546875,46,55.01948,2.15448761,38,92.12034
17.578125,46,54.99474,2.15351868,38,92.12034
23.4375,46,54.9877243,2.153244,38,92.12034
12.109375,43,55.0820236,2.15693665,38,92.12034
24.609375,44,55.0010719,2.15376663,38,92.12034
10.384613,43,54.9434,2.15150833,38,92.12034
19.53125,44,55.0414,2.155346,38,92.12034
14.84375,44,54.9903564,2.153347,38,92.12034
11.71875,44,55.0049667,2.15391922,38,92.12034
19.140625,46,55.01422,2.15428162,38,92.12034
25,44,55.2299042,2.16272736,38,92.12034
12.3076916,44,55.2263947,2.16259,38,92.12034
26.15385,46,55.23867,2.16307068,38,92.12034
20.7692318,43,55.264,2.1640625,38,92.12034
29.6875,47,55.28923,2.16505051,38,92.12034
23.4615383,43,55.2639,2.16405869,38,92.12034
48.4375,44,55.2564964,2.16376877,38,92.12046
19.53125,45,55.21451,2.16212463,38,92.12046
13.28125,46,55.4586372,2.17168427,38,92.12046
20.3125,46,55.1660957,2.16022873,38,92.12046
16.40625,44,55.3990173,2.16934967,38,92.12046
32.421875,45,55.50637,2.17355347,38,92.12046
9.375,43,55.4005775,2.16941071,38,92.12046
26.5625,46,55.16863,2.160328,38,92.12046
32.03125,47,55.1150475,2.15822983,38,92.12046
32.8125,45,55.1917152,2.161232,38,92.12046
15.625,46,55.26731,2.1641922,38,92.12046
24.609375,46,54.98987,2.153328,38,92.12046
25.48983,44,55.06225,2.15616226,38,92.12046
17.1394234,44,54.8265,2.14693069,38,92.12046
11.328125,44,54.56455,2.136673,38,92.12046
10.9375,44,54.3854,2.12965775,38,92.12046
12.109375,43,54.2312851,2.123623,38,92.12046
14.0625,46,54.34302,2.12799835,38,92.12046
23.4375,46,54.19076,2.122036,38,92.12046
11.71875,44,54.043663,2.11627579,38,92.12046
16.015625,46,54.2162857,2.12303543,38,92.12046
12.5,45,54.3244171,2.12726974,38,92.12046
17.578125,46,54.45749,2.13248062,38,92.12046
26.171875,46,54.3640633,2.12882233,38,92.12046
27.34375,47,54.4251442,2.13121414,38,92.12046
31.640625,46,54.4247551,2.131199,38,92.12046
16.796875,46,54.60371,2.13820648,38,92.12046
16.796875,44,52.0135,2.0367775,38,92.12046
12.109375,47,51.75457,2.026638,38,92.12046
23.828125,46,51.94005,2.03390121,38,92.12046
5.078125,43,51.4555969,2.01493073,38,92.12068
0.7692337,43,51.4488754,2.01466751,38,92.12068
1.15385056,43,51.4447861,2.01450729,38,92.12068
1.92307234,42,51.40163,2.01281738,38,92.12068
1.53846145,43,51.3984146,2.0126915,38,92.12068
0.7692337,42,51.3915939,2.01242447,38,92.12068
0.384616852,41,51.38877,2.01231384,38,92.12068
9.999996,42,51.4282227,2.0138588,38,92.12068
8.59375,42,51.3535042,2.010933,38,92.12068
6.640625,42,51.37864,2.011917,38,92.12068
13.07692,42,51.58867,2.0201416,38,92.12068
4.296875,42,51.676342,2.02357483,38,92.12068
0.7692337,43,51.6909561,2.024147,38,92.12068
0.78125,43,51.70099,2.02454,38,92.12068
1.53846741,42,51.6656265,2.02315521,38,92.12068
11.153841,42,51.82393,2.029354,38,92.12068
6.25,42,51.8996239,2.032318,38,92.12068
6.153846,42,52.97812,2.07455063,38,92.12068
